legal_name,city,county,state,zip,vertical,naics_code,owner_name,owner_age_estimate,owner_tenure_years,years_in_business,employee_count_estimate,entity_status,is_distressed,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,confidence,data_completeness,deep_dive_pending,final_comment,value_add_thesis,score_run_id,spine_index,owner_age_source
Ennis Glass,Ennis,Ellis,TX,,glass_services,238150,"Chris Vasquez and Mike Vasquez (sons of founder Ray Vasquez, took over 2019)",48,,40,12,Active,False,27,"owner ~48 (<53 band), tenure 40yr",76,"mixed/residential mix, ~12 FTE, 40yr",27,1 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,45,C_watch,medium,0.72,False,"L1=27 (owner ~48 (<53 band), tenure 40yr) L2=76 L3=27 L4=67 → final 45. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,13,heuristic_explicit_succession_2019_sons_typically_40-55_at_handoff
Sonora Glass and Mirror,Dallas,Dallas,TX,,glass_services,238150,founder/family undisclosed (WebFetch returned empty per spine),58,,20,4,unknown_needs_comptroller_verification,False,55,"owner ~58 (58-62 band), tenure 20yr",63,"mixed/residential mix, ~4 FTE, 20yr",85,4 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,68,B_forward,low,0.3,False,"L1=55 (owner ~58 (58-62 band), tenure 20yr) L2=63 L3=85 L4=67 → final 68. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,14,heuristic_~20yr_residential_shop_owner_typically_55-65
Ajax Glass & Mirror,Benbrook,Tarrant,TX,,glass_services,238150,founder/family undisclosed on site,60,,81,18,Active,False,67,"owner ~60 (58-62 band), tenure 81yr",76,"mixed/residential mix, ~18 FTE, 81yr",42,2 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,62,B_forward,medium,0.6,False,"L1=67 (owner ~60 (58-62 band), tenure 81yr) L2=76 L3=42 L4=67 → final 62. Family successor already in place. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,15,heuristic_founded_pre_1950_multi_gen_current_~60
BJ Glass Company,Crandall,Kaufman,TX,,glass_services,238150,founder/family undisclosed on site (initials BJ suggest founder names),67,,40,20,Active,False,91,"owner ~67 (63-67 band), tenure 40yr",74,"mixed/residential mix, ~20 FTE, 40yr",45,1 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,69,B_forward,medium,0.6,False,"L1=91 (owner ~67 (63-67 band), tenure 40yr) L2=74 L3=45 L4=67 → final 69. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,16,heuristic_founded_1986_original_founder_now_~67
"Kelley's Glass & Mirror, Inc.",Irving,Dallas,TX,,glass_services,238150,Son and son-in-law of founder Jerry Kelley (Jerry passed in 2020),50,,42,30,Active,False,29,"owner ~50 (<53 band), tenure 42yr",76,"mixed/residential mix, ~30 FTE, 42yr",27,1 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,46,C_watch,medium,0.75,False,"L1=29 (owner ~50 (<53 band), tenure 42yr) L2=76 L3=27 L4=67 → final 46. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,17,heuristic_2020_succession_to_son_son_in_law_typically_45-55_at_handoff
Jubilee Shower Doors,McKinney,Collin,TX,,glass_services,238150,founder/family undisclosed on site,55,,18,5,Active,False,43,"owner ~55 (53-57 band), tenure 18yr",61,"mixed/residential mix, ~5 FTE, 18yr",85,4 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,64,B_forward,low,0.42,False,"L1=43 (owner ~55 (53-57 band), tenure 18yr) L2=61 L3=85 L4=67 → final 64. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,18,heuristic_small_specialty_shower_fabricator
"Plano Shower Door, LLC",Plano,Collin,TX,,glass_services,238150,founder/family undisclosed (30+ years experience per site implies owner age ~55-65),60,,18,4,Active,False,63,"owner ~60 (58-62 band), tenure 18yr",71,"mixed/residential mix, ~4 FTE, 18yr",60,2 weighted coasting tells (0 high) | succession_done=False,70,DFW/Houston/Austin | +3 premium-resi,65,B_forward,low,0.5,False,"L1=63 (owner ~60 (58-62 band), tenure 18yr) L2=71 L3=60 L4=70 → final 65. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,19,heuristic_30yr_glass_experience_+_LLC_age_owner_typically_55-65
"Elite Showers, LLC",McKinney,Collin,TX,,glass_services,238150,founder/family undisclosed on site,50,,16,8,Active,False,25,"owner ~50 (<53 band), tenure 16yr",75,"mixed/residential mix, ~8 FTE, 16yr",45,1 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,50,C_watch,low,0.5,False,"L1=25 (owner ~50 (<53 band), tenure 16yr) L2=75 L3=45 L4=67 → final 50. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,20,heuristic_younger_LLC_two_warehouse_locations_active_growth
Triple T Windows,Decatur,Wise,TX,,glass_services,238150,Shayla Taylor (daughter of founder Trey Taylor; succession in progress),42,,36,15,Active,False,21,"owner ~42 (<53 band), tenure 36yr",76,"mixed/residential mix, ~15 FTE, 36yr",27,1 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,43,D_pass,medium,0.75,False,"L1=21 (owner ~42 (<53 band), tenure 36yr) L2=76 L3=27 L4=67 → final 43. Family successor already in place. Tier D_pass based on owner age + coasting tells + market pull.",Drop from acquisition pipeline. Recent succession to next-gen — committed for 10-15yr. Better candidates exist in this vertical.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,21,heuristic_daughter_of_1990_founder_in_active_succession_2020s_typically_38-50
Hurst Glass and Screen,Hurst,Tarrant,TX,,glass_services,238150,founder/family undisclosed on site,65,,38,7,Active,False,85,"owner ~65 (63-67 band), tenure 38yr",67,"mixed/residential mix, ~7 FTE, 38yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,73,B_forward,low,0.55,False,"L1=85 (owner ~65 (63-67 band), tenure 38yr) L2=67 L3=70 L4=67 → final 73. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,22,heuristic_founded_1988_original_founder_now_~65
Mansfield Glass & Windows,Mansfield,Tarrant,TX,,glass_services,238150,woman-owned per spine; name undisclosed,58,,26,6,Active,False,59,"owner ~58 (58-62 band), tenure 26yr",74,"mixed/residential mix, ~6 FTE, 26yr",60,2 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,64,B_forward,medium,0.62,False,"L1=59 (owner ~58 (58-62 band), tenure 26yr) L2=74 L3=60 L4=67 → final 64. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,23,heuristic_25+yr_woman_owned_typically_55-65
"Heights Glass, Inc.",Houston,Harris,TX,,glass_services,238150,founder/family undisclosed on site,70,,48,10,Active,False,94,"owner ~70 (68+ band), tenure 48yr",74,"mixed/residential mix, ~10 FTE, 48yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,78,A_acquire_self,medium,0.6,True,"L1=94 (owner ~70 (68+ band), tenure 48yr) L2=74 L3=70 L4=67 → final 78. Tier A_acquire_self based on owner age + coasting tells + market pull.","Acquire long-tenure operator with no published successor. Modernize (CRM, dispatch, route optimization). Add commercial-glazing capability. EBITDA uplift 25-40% via ops modernization.",3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,24,heuristic_founded_1978_original_founder_now_~70
Buffalo Glass Co Inc,Houston,Harris,TX,,glass_services,238150,Novak family (J.D. Novak founder),58,,70,18,Active,False,59,"owner ~58 (58-62 band), tenure 70yr",76,"mixed/residential mix, ~18 FTE, 70yr",27,1 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,55,C_watch,medium,0.65,False,"L1=59 (owner ~58 (58-62 band), tenure 70yr) L2=76 L3=27 L4=67 → final 55. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,25,heuristic_70yr_brand_3rd_gen_Novak_typically_55-65
Meyerland Glass & Mirror Co.,Stafford,Fort Bend,TX,,glass_services,238150,founder/family undisclosed on site,60,,60,22,Active,False,67,"owner ~60 (58-62 band), tenure 60yr",76,"mixed/residential mix, ~22 FTE, 60yr",27,1 weighted coasting tells (0 high) | succession_done=True,70,DFW/Houston/Austin | +3 bullet-resistant niche,58,C_watch,medium,0.62,False,"L1=67 (owner ~60 (58-62 band), tenure 60yr) L2=76 L3=27 L4=70 → final 58. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,26,heuristic_60yr_brand_likely_2nd_gen_now
Distinctive Glass Co. Inc.,Houston,Harris,TX,,glass_services,238150,Roy Ramirez and Robert Ramirez (co-founders),72,,48,15,Active,False,96,"owner ~72 (68+ band), tenure 48yr",76,"mixed/residential mix, ~15 FTE, 48yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,79,A_acquire_self,medium,0.68,True,"L1=96 (owner ~72 (68+ band), tenure 48yr) L2=76 L3=70 L4=67 → final 79. Tier A_acquire_self based on owner age + coasting tells + market pull.","Acquire long-tenure operator with no published successor. Modernize (CRM, dispatch, route optimization). Add commercial-glazing capability. EBITDA uplift 25-40% via ops modernization.",3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,27,heuristic_founded_1978_co_founders_now_~70+
Northwest Glass & Mirror,Houston,Harris,TX,,glass_services,238150,founder/family undisclosed on site,60,,48,30,Active,False,67,"owner ~60 (58-62 band), tenure 48yr",78,"mixed/residential mix, ~30 FTE, 48yr",45,1 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,63,B_forward,medium,0.65,False,"L1=67 (owner ~60 (58-62 band), tenure 48yr) L2=78 L3=45 L4=67 → final 63. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,28,heuristic_48yr_likely_2nd_gen_now_or_aging_founder
Absolute Glassworks,Houston,Harris,TX,,glass_services,238150,founder/family undisclosed on site,62,,31,12,Active,False,75,"owner ~62 (58-62 band), tenure 31yr",76,"mixed/residential mix, ~12 FTE, 31yr",45,1 weighted coasting tells (0 high) | succession_done=False,70,DFW/Houston/Austin | +3 bullet-resistant niche,66,B_forward,low,0.52,False,"L1=75 (owner ~62 (58-62 band), tenure 31yr) L2=76 L3=45 L4=70 → final 66. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,29,heuristic_decades_of_service_per_site_owner_typically_60-70
Lone Star Glass Inc.,Houston,Harris,TX,,glass_services,238150,3rd-generation family (founder name undisclosed),50,,53,25,Active,False,29,"owner ~50 (<53 band), tenure 53yr",79,"mixed/residential mix, ~25 FTE, 53yr",42,2 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,51,C_watch,medium,0.72,False,"L1=29 (owner ~50 (<53 band), tenure 53yr) L2=79 L3=42 L4=67 → final 51. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,30,heuristic_3rd_gen_currently_operating_typically_45-58
Spring Glass & Mirror,Spring,Harris,TX,,glass_services,238150,founder/family undisclosed on site,68,,45,35,Active,False,92,"owner ~68 (68+ band), tenure 45yr",76,"mixed/residential mix, ~35 FTE, 45yr",45,1 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,70,B_forward,medium,0.68,False,"L1=92 (owner ~68 (68+ band), tenure 45yr) L2=76 L3=45 L4=67 → final 70. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,31,heuristic_founded_1981_original_founder_now_~68
Texan Glass & Solar Control Inc.,The Woodlands,Montgomery,TX,,glass_services,238150,founder/family undisclosed on site,58,,25,28,Active,False,59,"owner ~58 (58-62 band), tenure 25yr",78,"mixed/residential mix, ~28 FTE, 25yr",60,2 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,65,B_forward,low,0.55,False,"L1=59 (owner ~58 (58-62 band), tenure 25yr) L2=78 L3=60 L4=67 → final 65. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,32,heuristic_25yr_tenure_owner_typically_55-65
Lakeside Glass Houston,Houston,Harris,TX,,glass_services,238150,founder/family undisclosed (family ownership unverified per spine flag),66,,39,40,Active,False,88,"owner ~66 (63-67 band), tenure 39yr",76,"mixed/residential mix, ~40 FTE, 39yr",45,1 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,69,B_forward,low,0.55,False,"L1=88 (owner ~66 (63-67 band), tenure 39yr) L2=76 L3=45 L4=67 → final 69. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,33,heuristic_founded_1987_original_founder_now_~66
Sugar Land Glass & Shower,Sugar Land,Fort Bend,TX,,glass_services,238150,founder/family undisclosed on site,58,,21,5,unknown_needs_comptroller_verification,False,55,"owner ~58 (58-62 band), tenure 21yr",70,"mixed/residential mix, ~5 FTE, 21yr",70,3 weighted coasting tells (0 high) | succession_done=False,70,DFW/Houston/Austin | +3 premium-resi,66,B_forward,low,0.38,False,"L1=55 (owner ~58 (58-62 band), tenure 21yr) L2=70 L3=70 L4=70 → final 66. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,34,heuristic_21yr_tenure_owner_typically_55-65
Vista Glass,Sugar Land,Fort Bend,TX,,glass_services,238150,founder undisclosed (in glass since 2000 per spine — career glass operator),52,,13,6,Active,False,27,"owner ~52 (<53 band), tenure 13yr",72,"mixed/residential mix, ~6 FTE, 13yr",45,1 weighted coasting tells (0 high) | succession_done=False,70,DFW/Houston/Austin | +3 premium-resi,50,C_watch,low,0.55,False,"L1=27 (owner ~52 (<53 band), tenure 13yr) L2=72 L3=45 L4=70 → final 50. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,35,heuristic_in_glass_since_2000_owner_typically_50-60_now
The Glass Store Inc.,Katy,Harris,TX,,glass_services,238150,founder/family undisclosed on site,68,,41,8,Active,False,92,"owner ~68 (68+ band), tenure 41yr",74,"mixed/residential mix, ~8 FTE, 41yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,77,B_forward,low,0.58,False,"L1=92 (owner ~68 (68+ band), tenure 41yr) L2=74 L3=70 L4=67 → final 77. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,36,heuristic_founded_1985_original_founder_now_~68
Mr. Glass & Mirror,Houston,Harris,TX,,glass_services,238150,founder/family undisclosed on site (per spine 'family-owned since 1978' per third-party),70,,48,10,Active,False,94,"owner ~70 (68+ band), tenure 48yr",74,"mixed/residential mix, ~10 FTE, 48yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,78,B_forward,low,0.5,False,"L1=94 (owner ~70 (68+ band), tenure 48yr) L2=74 L3=70 L4=67 → final 78. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,37,heuristic_third_party_says_1978_founder_now_~70
