legal_name,dba_name,city,county,state,zip,address,phone,website,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,year_established,years_in_business,entity_status,is_distressed,estimated_employee_count,specialty,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,hard_gate_reason
"Falcon Steel Fabricators, Inc.",,Houston,Harris,TX,,,,https://falconsteelfab.com/,welding_metal_fab,332313,Daniel Morua (owner),,"unknown — founded 2010, owner likely 40-60 range",,2010,16,Active (assumed),False,30,"custom structural steel fabrication for refinery, petrochem, oil & gas",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (16 yrs); tenure 16 yrs (mod +0),72,"certs: ISO 9001, AS9100 (+10); customers: petrochem, public/civic bid list (+7); emp band 30 (+5)",39,no CAD/CAM stack (+4); no modern equip (+3); active social (-4); no certs listed (+1),82,Houston Ship Channel / petrochem corridor (82); welding=low PE attention/entry oppty,50,D,Score 50 (D) | L1=25 L2=72 L3=39 L4=82 | raw 50 (D) → D after gates | Confidence=medium,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
"Westfield Machine, Inc.",,Houston,Harris,TX,,,,https://www.westfieldmachine.com/,welding_metal_fab,332313,"Unknown — family-owned per website, no named principal publicly. Spine noted 1992 founding, but websearch reveals 1982 (44 years).",,unknown — family-owned but no named principal,,1982,44,Active (assumed),False,25,"large-component structural fabrication, welding, brazing, CNC machining for aerospace, oilfield, heavy industrial, GAS TURBINE",c03c477f-f30f-4a21-8c1b-c69cb707803b,49,Age unknown; tenure proxy (44 yrs) suggests mid-career; tenure 44 yrs (mod +4),75,"certs: ISO 9001, API Q1 (+10); customers: aerospace, established repeat customers (+7); niche: gas turbine (+3); emp band 25 (+5)",50,pre-1990 same shop (+12); CAD/CAM present (-5); no modern equip (+3); anonymous principal (+4); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,60,C,Score 60 (C) | L1=49 L2=75 L3=50 L4=74 | raw 60 (C) → C after gates | Confidence=high,AS9100/NADCAP cert lift → tier-1 aerospace contract upgrade | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,False,
"Mobil Steel International, Inc.",,Houston,Harris,TX,,,,https://www.mobilsteel.com/,welding_metal_fab,332313,Leonard A. Bedell (President & CEO) — current ownership team purchased the company in 2004. Original founders: Dorothy + Dale Manhart (1969).,,ownership_change_2004 — Bedell-led ownership team has held for 22 years,,1969,57,Active (assumed),False,50,"structural steel fabrication for petrochem, oil & gas, power utilities, communications",c03c477f-f30f-4a21-8c1b-c69cb707803b,66,Age unknown; tenure proxy (57 yrs) suggests owner age window; tenure 57 yrs (mod +6),61,certs: AISC (+2); customers: petrochem (+4); emp band 50 (+5),46,pre-1990 same shop (+12); CAD/CAM present (-5); no modern equip (+3); no certs listed (+1),82,Houston Ship Channel / petrochem corridor (82); welding=low PE attention/entry oppty,30,D,"Score 30 (D) | L1=66 L2=61 L3=46 L4=82 | raw 61 (C) → D after gates | Confidence=high | gate: EXCLUSION: ownership change 2004, professionally CEO-led (not coasting solo owner)",Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.8,False,"EXCLUSION: ownership change 2004, professionally CEO-led (not coasting solo owner)"
"Summit Steel Fabricators, Inc.",,Houston,Harris,TX,,,,https://www.summitsteelfab.com/,welding_metal_fab,332323,,,unknown — family-owned but no named principal,,1988,38,Active (assumed; incorporated 1988 per public records),False,15,"structural steel and decorative/ornamental metalwork (gates, stairs, rails, beams, powder coating)",c03c477f-f30f-4a21-8c1b-c69cb707803b,47,Age unknown; tenure proxy (38 yrs) suggests mid-career; tenure 38 yrs (mod +2),50,emp band 15 (+5); discounts -5; pure-ornamental discount,62,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); anonymous principal (+4); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,56,C,Score 56 (C) | L1=47 L2=50 L3=62 L4=74 | raw 56 (C) → C after gates | Confidence=low,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.4,False,
"M&M's Welding and Fabricating, Inc.",,Houston,Harris,TX,,,,https://www.mmsweldfab.com/,welding_metal_fab,332313,Miguel Ortega (owner),,unknown — Miguel Ortega owner since 1997 founding likely; current age 50-70 range,,1997,29,Active (assumed),False,20,"structural steel building erection, Pre-Engineered Metal Buildings (PEMB), commercial / industrial / religious",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (29 yrs); tenure 29 yrs (mod +0),57,certs: AISC (+2); emp band 20 (+5),52,pre-2000 same shop (+8); no CAD/CAM stack (+4); no modern equip (+3); active recruiting (-3); active social (-4); sole/eponymous principal (+3); succession gap noted (+5); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,48,D,Score 48 (D) | L1=25 L2=57 L3=52 L4=74 | raw 48 (D) → D after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
South Texas Fabrication and Metal Work,,Splendora,Montgomery,TX,,,,https://www.southtexasfabmw.com/,welding_metal_fab,332323,,,unknown,,,,Active (assumed),False,12,"custom gates, metal staircases, structural steel, ornamental ironwork, residential/commercial",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (0 yrs); tenure 0 yrs (mod +0),52,emp band 12 (+2),50,no CAD/CAM stack (+4); no modern equip (+3); owner welds/operator (+3); anonymous principal (+4); no certs listed (+1),58,Montgomery rural/secondary metro (58); welding=low PE attention/entry oppty,44,D,Score 44 (D) | L1=25 L2=52 L3=50 L4=58 | raw 44 (D) → D after gates | Confidence=low,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.3,False,
JT-Fabrication & Welding,,Pearland,Brazoria,TX,,,,https://www.jt-fabrication.com/,welding_metal_fab,332710,,,"unknown — possible Jarod Tillman (jtfabrications.com, separate entity); Pearland JT-Fabrication owner not confirmed",,,,Active (assumed),False,8,"skids, platforms, pipe supports, oilfield equipment repairs; mobile welding + shop fab",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (0 yrs); tenure 0 yrs (mod +0),52,emp band 8 (+2),46,no CAD/CAM stack (+4); no modern equip (+3); owner welds/operator (+3); no certs listed (+1),72,Brazoria coastal TX petrochem (72); welding=low PE attention/entry oppty,45,D,Score 45 (D) | L1=25 L2=52 L3=46 L4=72 | raw 45 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.25,False,
"Kieschnick Industries, Inc.",,Beaumont,Jefferson,TX,,,,https://kieschnickind.com/,welding_metal_fab,332313,Todd Kieschnick (owner / president),,"unknown — founded 2001 by Todd, current age likely 45-65",,2001,25,Active (assumed),False,25,"sheet metal, plate, light structural fabrication; shearing, forming, rolling, CNC plasma, punching, welding",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (25 yrs); tenure 25 yrs (mod +0),64,"certs: ASME code stamps (+3); customers: petrochem, offshore/marine (+6); emp band 25 (+5)",55,pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); no modern equip (+3); phone-driven sales (+4); sole/eponymous principal (+3); no certs listed (+1),77,Jefferson coastal TX petrochem (72); coastal petrochem +5; welding=low PE attention/entry oppty,52,D,Score 52 (D) | L1=25 L2=64 L3=55 L4=77 | raw 52 (D) → D after gates | Confidence=high,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,False,
LabelleCo Fabrication,,Beaumont,Jefferson,TX,,,,https://labellecofab.com/,welding_metal_fab,332313,Ryan Merendino (CEO),,"unknown — founded 2012, CEO likely 35-55",,2012,14,Active (assumed),False,50,pipe & structural steel fabrication; 130K sq ft steel fab + 60K sq ft pipe fab,c03c477f-f30f-4a21-8c1b-c69cb707803b,22,Age unknown; tenure too short for confident inference (14 yrs); tenure 14 yrs (mod -3),58,RE: large facility (+3); emp band 50 (+5),43,no CAD/CAM stack (+4); no modern equip (+3); no certs listed (+1),72,Jefferson coastal TX petrochem (72); welding=low PE attention/entry oppty,30,D,"Score 30 (D) | L1=22 L2=58 L3=43 L4=72 | raw 45 (D) → D after gates | Confidence=medium | gate: EXCLUSION: founded 2012 (14 yrs), professionally CEO-led, 190K sq ft likely >$50M revenue (size cap)",CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,"EXCLUSION: founded 2012 (14 yrs), professionally CEO-led, 190K sq ft likely >$50M revenue (size cap)"
Accurate Industries Inc.,,Vidor,Orange,TX,,,,https://accurateindustriesinc.com/,welding_metal_fab,332313,Bo Jack Davis (likely owner — bojackdavis@accurateindustriesinc.net email; minority + family-owned per company description),,unknown — minority + family-owned HUB-certified,,2012,14,Active (assumed),False,35,"industrial pipe, structural steel, pipeline construction",c03c477f-f30f-4a21-8c1b-c69cb707803b,22,Age unknown; tenure too short for confident inference (14 yrs); tenure 14 yrs (mod -3),56,RE: owns building (+4); emp band 35 (+5); discounts -3; cert-tied transfer risk,43,no CAD/CAM stack (+4); no modern equip (+3); no certs listed (+1),72,Orange coastal TX petrochem (72); welding=low PE attention/entry oppty,44,C,"Score 44 (C) | L1=22 L2=56 L3=43 L4=72 | raw 44 (D) → C after gates | Confidence=medium | gate: EXCLUSION: founded 2012 (14 yrs), below tenure target; minority+family HUB-cert transfer risk",CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,"EXCLUSION: founded 2012 (14 yrs), below tenure target; minority+family HUB-cert transfer risk"
Serpa Fabrication Inc,R.L.M. Industries,Corpus Christi,Nueces,TX,,,,https://www.serpafab.com/,welding_metal_fab,332313,Rodney Serpa (owner),60,"founder_tenure_proxy — founded 1996 (30 yrs ago), if owner-founded in 30s now 60-65",,1996,30,Active (assumed),False,15,"structural steel, ASME coded work, welding",c03c477f-f30f-4a21-8c1b-c69cb707803b,67,Owner age ~60 approaching succession window (58-62); tenure 30 yrs (mod +2),65,"certs: ASME code stamps (+3); customers: petrochem, established repeat customers (+7); emp band 15 (+5)",60,pre-2000 same shop (+8); no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); sole/eponymous principal (+3); aging workforce (+3); no certs listed (+1),77,Nueces coastal TX petrochem (72); coastal petrochem +5; welding=low PE attention/entry oppty,66,C,Score 66 (C) | L1=67 L2=65 L3=60 L4=77 | raw 66 (C) → C after gates | Confidence=high,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | ASME pressure-vessel niche scale-up; bolt-on adjacent shops | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,False,
Stainless Steel Products,SSP MetalWorks,Corpus Christi,Nueces,TX,,,,https://www.sspmetalworks.com/,welding_metal_fab,332710,"Danny Alegria (current owner since 2022) — 3rd gen Alegria; prior Rick Alegria (2006-2022), Jorge Alegria (1995-2006)",40,"owner_transition_2022 — Danny Alegria took over 2022, likely 35-50 range",,1960,66,Active (assumed),False,20,"stainless steel custom fab + multi-metal (carbon, aluminum, copper, brass, exotics); water jet, shear, bend, weld, polish",c03c477f-f30f-4a21-8c1b-c69cb707803b,28,Owner age ~40 too young for succession trigger (<53); tenure 66 yrs (mod +6),55,emp band 20 (+5),48,pre-1990 same shop (+12); no CAD/CAM stack (+4); modern equip noted (-4); no certs listed (+1),72,Nueces coastal TX petrochem (72); welding=low PE attention/entry oppty,45,C,"Score 45 (C) | L1=28 L2=55 L3=48 L4=72 | raw 47 (D) → C after gates | Confidence=high | gate: EXCLUSION: recent generational transition 2022 (Danny Alegria), unlikely seller",CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.85,False,"EXCLUSION: recent generational transition 2022 (Danny Alegria), unlikely seller"
Industrial Fabricators of Corpus Christi,,Corpus Christi,Nueces,TX,,,,https://www.indfabcc.com/,welding_metal_fab,332313,Gus Cargile (President / Owner). Gus Cargile III is CEO (likely son — 2nd gen succession in place). Same ownership since 1977 (49 yrs).,70,"founder_tenure_proxy — same ownership since 1977 (49 yrs); if owner took over at 30, now ~80; if 35-45, now ~75-85",,1964,62,Active (assumed),False,100,"structural steel fab, welding, machining, ASME coded vessels",c03c477f-f30f-4a21-8c1b-c69cb707803b,98,Owner age ~70 in late-retirement window (68+); tenure 62 yrs (mod +6),64,"certs: ASME code stamps, API (non-Q1) (+5); customers: petrochem (+4); RE: owns building, substantial real estate (+7); niche: ASME pressure vessel (+3); emp band 100 (-5)",46,pre-1990 same shop (+12); CAD/CAM present (-5); no modern equip (+3); no certs listed (+1),77,Nueces coastal TX petrochem (72); coastal petrochem +5; welding=low PE attention/entry oppty,71,B,Score 71 (B) | L1=98 L2=64 L3=46 L4=77 | raw 71 (B) → B after gates | Confidence=high,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | ASME pressure-vessel niche scale-up; bolt-on adjacent shops | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.8,True,
Texas Custom Welding LLC,,Aledo,Parker,TX,,,,https://www.texascustomwelding.com/,welding_metal_fab,332710,Ray Golden and Windy Golden (husband-wife founders),45,"linkedin_grad — Ray graduated Aledo HS 1999, current age ~45",,2011,15,Active (assumed),False,8,"mobile + shop welding/fabrication, pipe fencing, gates, railings, carports, deer stands, hog traps, custom",c03c477f-f30f-4a21-8c1b-c69cb707803b,22,Owner age ~45 too young for succession trigger (<53); tenure 15 yrs (mod +0),52,emp band 8 (+2),48,no CAD/CAM stack (+4); no modern equip (+3); succession gap noted (+5); no certs listed (+1),70,Parker DFW general industrial (73); Parker rural -3; welding=low PE attention/entry oppty,44,D,Score 44 (D) | L1=22 L2=52 L3=48 L4=70 | raw 44 (D) → D after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.75,False,
"First Quality Fabricating, LLC",,Dallas,Dallas,TX,,,,https://www.firstqualityfabricating.com/,welding_metal_fab,332710,"Richard Thrailkill (founder, still active, US Army 101st Airborne/Ranger vet) + wife Edna Thrailkill (co-founder). Son Rick Thrailkill Jr. is VP (2nd gen). Family runs alongside today.",78,"founder_tenure_proxy + service_record — Richard served in 101st Airborne (typical age 19-23) before founding 1979; if drafted Vietnam-era 1968-72 at age 20, now ~75-80",,1979,47,Active (assumed),False,25,"sheet metal fabrication — laser cutting, Amada/Safan press brakes, MIG/TIG/robotic welding, CNC punch",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~78 in late-retirement window (68+); tenure 47 yrs (mod +4),58,customers: OEM/manufacturer base (+3); emp band 25 (+5),51,pre-1990 same shop (+12); no CAD/CAM stack (+4); modern equip noted (-4); social absent (+3); no certs listed (+1),73,Dallas DFW general industrial (73); welding=low PE attention/entry oppty,70,B,Score 70 (B) | L1=96 L2=58 L3=51 L4=73 | raw 70 (B) → B after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.9,True,
Lee Metal Fabrication,,Cleburne,Johnson,TX,,,,https://www.leemetalfab.com/,welding_metal_fab,332710,"Raymond Lee (founder, 1968). Multi-generation family business per company history.",80,"founder_tenure_proxy — Raymond Lee founded 1968 likely in 20s-30s, now ~80-90; succession to children likely in progress",,1968,58,Active (assumed),False,18,"custom metal fab job shop — laser cutting, plasma, CNC press brake, CNC turning/vertical machining, automated robotic welding",c03c477f-f30f-4a21-8c1b-c69cb707803b,98,Owner age ~80 in late-retirement window (68+); tenure 58 yrs (mod +6),55,emp band 18 (+5),61,pre-1990 same shop (+12); pre-2015 web/legacy patterns (+5); no CAD/CAM stack (+4); modern equip noted (-4); social absent (+3); succession gap noted (+5); no certs listed (+1),73,Johnson DFW general industrial (73); welding=low PE attention/entry oppty,72,B,Score 72 (B) | L1=98 L2=55 L3=61 L4=73 | raw 72 (B) → B after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.75,True,
