legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness
Sunrise Mechanical Services,,Houston,Harris,,,,,,,unverified,,,,,False,[],50,Unverified — no website found.,50,Unverified.,35,Unverified.,75,Houston baseline.,49,C_watch,"Sunrise Mechanical — no website verified, unverified. D_pass without verification.",N/A.,low,0.15
Tony's Plumbing,,Cypress,Harris,,,(832) 890-8449,https://tonysplumbingtx.com/,,60,biz_history_proxy,38,38,1,3,False,[],70,Tony's Plumbing father-son team. 38+ yrs.,60,Cypress/Katy NW Houston small shop.,50,Successor check NEGATIVE: father-son team.,80,Houston rollup hot.,63,B_forward,Tony's Plumbing — father-son small shop. B_forward.,Small-shop NW Houston multi-gen. Forward.,medium,0.5
DeMarco Plumbing,,Spring,Harris,,,,https://demarco-plumbing.com/,Kevin DeMarco,,unverified,,,1,3,False,[],50,Unverified.,50,Unverified.,45,Unverified.,75,TX baseline.,52,C_watch,Unverified candidate. C_watch pending enrichment.,N/A — unverified.,low,0.2
All in The Family Plumbing,,Tomball,Harris,,,(832) 285-7061,https://allinthefamilyplumbing.com/,,55,license_tenure_proxy,19,19,1,5,False,[],60,RMPL 21138 mid-2000s — owner age ~50-60.,65,8-city NW Houston service area.,50,'In the Family' branding implies succession but no confirmed family successor.,80,Houston rollup hot.,61,B_forward,"All in The Family Plumbing — 19-yr operation, 8-city NW Houston, family branding. C_watch / B_forward.",Mid-tenure NW Houston multi-city. Forward.,low,0.4
Daniels Plumbing,,Tomball,Harris,,,,,,65,biz_history_proxy,40,40,1,5,False,[],70,Daniels Plumbing 40 yrs.,65,NW Houston/Tomball shop.,55,Thin online presence.,80,Houston rollup hot.,66,B_forward,Daniels Plumbing — 40 yrs Tomball/NW Houston. B_forward.,Long-tenured NW Houston small-mid shop. Forward.,low,0.45
ABERLE PLUMBING LLC,,Houston,Harris,77049,13141 KINSMAN,(281) 458-1449,,MARK STEVEN ABERLE,65,license_tenure_proxy,37,37,2,8,False,[],68,Steve Aberle founder 1989 + Mark Aberle MP since 2000 (son).,75,37-yr Houston shop.,45,Successor check NEGATIVE: Steve + Mark Aberle father-son.,80,Houston rollup hot.,65,B_forward,Aberle Plumbing — Steve + Mark father-son. B_forward.,Long-tenured Houston family plumbing. Forward.,medium,0.6
JOHNS PLUMBING INC,,Houston,Harris,77084,14506 CROSS JUNCTION ST,(281) 380-8590,,JOHN P ANSELMO,68,license_tenure_proxy,37,44,1,4,False,[],80,John P. Anselmo (President per CorporationWiki) holds TSBPE M-17559 since 1989 = 37+ yrs MP tenure. Estimated age ~68 (MP'd 1989 at age ~30 = born ~1959). Confidence medium — needs Harris CAD OV65 check on personal residence + LinkedIn cross-check for visible-second-Anselmo. Solo-listed RMP.,65,44-yr operation (since 1982). Single RMP + 'family-owned' brand. Small-shop residential service. NW Harris ZIP 77084 (Bear Creek/Copperfield — ordinary suburban submarket). Estimated 2-4 trucks / 4-6 staff ≈ $500K-1.2M revenue band. Below platform-acquirer sweet spot but in SBA / ETA-searcher range. License clean.,85,EXTREME coasting tells: (a) johnsplumbing-houston.com is a TEMPLATE WEBSITE with literal placeholder text 'Say something interesting about your business here' and 'What's a product or service you'd like to show' — owner has invested ZERO in modernization; (b) no team/about page; (c) no membership plan; (d) no online booking; (e) no SMS dispatch tech; (f) phone-only intake. 44-yr-old shop with template website = the textbook 'disengaged solo owner stopped pushing' profile. 5 strong coasting tells stacked.,82,"Houston is top-3 TX rollup metro. NW Harris (Bear Creek/Copperfield) = ordinary suburban submarket, not premium (no +3 nudge), but Houston metro baseline is 0. Sub-shop size ($500K-1M rev) is below national platform-acquirer (Wrench, Apex) bolt-on minimum but is in independent-sponsor / search-fund SBA-7(a) acquisition sweet spot. Plumbing rollup HOT (+9 modifier) but small-shop modifier slightly reduces L4. Score 82.",78,A_acquire_self,"John P. Anselmo, ~68 yrs old (TSBPE M-17559 since 1989 = 37 yrs MP tenure), is the sole listed RMP at John's Plumbing Inc in Houston (14506 Cross Junction St 77084). 44-year-old family-owned operation. The website johnsplumbing-houston.com fetched 2026-05-16 is a TEMPLATE with literal placeholder text 'Say something interesting about your business here' — owner has effectively stopped marketing investment. No team page, no membership plan, no online booking, no SMS dispatch, no team page = 5+ stacked coasting tells. Single named RMP, no visible Anselmo successor in TSBPE search or LinkedIn. Smaller shop size ($500K-1.2M rev estimated) is below platform-acquirer sweet spot but within ETA-searcher SBA-7(a) sweet spot. A_acquire_self pending Harris CAD OV65 verification + final live team-page fetch confirmation.",John's Plumbing has 44 years of customer relationships in NW Houston (Bear Creek / Copperfield / Cypress fringe) but a literal-template website with unfilled placeholder text. The customer database is the asset; modernization unlocks 2-3× revenue from same customer count. Concrete value-add levers: (a) real website + Local SEO = +50-100% lead flow; (b) Housecall Pro / ServiceTitan migration + true online booking = recover leakage from 'shop around' callers; (c) recurring service-agreement program (Anselmo Family Plan $19-25/mo) = $100-300K incremental ARR; (d) automated review generation; (e) hire one second Journeyman / RMP successor to enable owner exit. Credible 50-100% EBITDA growth over 24 months given the extreme modernization gap.,medium,0.55
PEGASUS PLUMBING & UTILITY SERVICES LLC,,Houston,Harris,77087,3023 GOLFCREST BLVD,(713) 988-6061,,MICHAEL BURL MASSINGILL,50,license_tenure_proxy,14,15,1,5,False,[],45,Massingill MP since 2011 = age 40-55.,70,High-end residential focus Houston.,50,Mid coasting tells.,85,Houston rollup hot.,59,C_watch,"Pegasus Plumbing — Massingill 14-yr MP, not yet retirement window. C_watch.",N/A — too young.,medium,0.55
GILBERT PLUMBING CO LP,,Houston,Harris,77092,4118 SOUTHERLAND RD,(713) 201-2685,,JACK L GILBERT,65,biz_history_proxy,36,88,4,9,False,[],72,Gilbert 4-gen Pat → Jack → Patrick. Jack Tex Tech 1988 grad = age 60.,90,88-yr Houston operation. $8.7M revenue. 9 employees on books.,35,Successor check NEGATIVE: 4-gen Gilbert family.,92,Houston rollup hot.,68,B_forward,Gilbert Plumbing — 4-gen Gilbert family. Platform-scale. B_forward.,Platform-scale Houston multi-gen. Forward.,high,0.7
DOLPHIN PLUMBING,,Houston,Harris,77089,10511 KIRKHILL,(281) 924-4154,,EUSEBIO MUNOZ,68,license_tenure_proxy,33,34,2,4,False,[],75,Eusebio Munoz MP since 1992 + Mario Munoz at company.,65,"SE Harris shop, small-mid.",50,Successor check NEGATIVE: same-surname Munoz on LinkedIn.,80,Houston rollup hot.,66,B_forward,Dolphin Plumbing — Eusebio + Mario Munoz family succession. B_forward.,Houston multi-gen Munoz. Forward.,medium,0.5
PAZ PLUMBING,,South Houston,Harris,77587,,(832) 731-1989,,JORGE ANIBAL DE PAZ,67,license_tenure_proxy,32,32,1,3,False,[],75,Jorge De Paz MP since 1993.,55,South Houston small shop.,50,No website found. Cap confidence.,75,Houston baseline.,62,B_forward,"Paz Plumbing — 32-yr South Houston shop, no website. C_watch.",N/A — thin data.,low,0.3
W MCLAIN PLUMBING LLC,,Pasadena,Harris,77503,2710 PRESTON,(281) 802-4615,,WILLIAM DAVID MCLAIN,72,license_tenure_proxy,40,40,1,3,False,[],80,W McLain MP M-9313 legacy pre-1990.,55,Pasadena Houston metro older housing.,50,No website. Strong age proxy but cap confidence.,75,Houston baseline + Pasadena older housing +3.,64,B_forward,"W McLain Plumbing — legacy MP, Pasadena older housing. C_watch — no website caps to C tier.",N/A — thin data.,low,0.3
THIRD COAST PLUMBING SERVICES LLC,,Pasadena,Harris,77506,,(713) 473-0534,,GREGORIO V MARTINEZ,67,license_tenure_proxy,40,40,1,3,False,[],75,Gregorio Martinez MP M-15152 since 1985.,55,Pasadena older Houston metro.,50,No website. Cap confidence.,75,Houston baseline + Pasadena +3.,62,B_forward,Third Coast Plumbing — long-tenured Pasadena MP. C_watch.,N/A — thin data.,low,0.3
W ELAM PLUMBING COMPANY,,Houston,Harris,77045,,(713) 433-3996,,WESLEY ELAM,72,license_tenure_proxy,40,40,1,3,False,[],75,Wesley Elam MP pre-1990 legacy.,60,South Houston small shop.,40,Successor check NEGATIVE: paired with Elam Plumbing Company (Mack A Elam) = multi-Elam family.,75,Houston baseline.,61,B_forward,W Elam Plumbing — multi-Elam family. B_forward / D — thin.,Multi-Elam family Houston. Forward.,low,0.3
ELAM PLUMBING COMPANY,,Houston,Harris,77051,9019 BRANDON ST,(713) 733-0990,,MACK A ELAM,78,license_tenure_proxy,45,50,1,4,False,[],80,Mack A Elam MP M-5233 legacy pre-1990.,60,South Houston small.,40,Multi-Elam family.,75,Houston baseline.,62,B_forward,Elam Plumbing — Mack A Elam legacy. Multi-Elam family. B_forward / D — thin.,Forward.,low,0.3
FRANCIS PLUMBING AND UTILITY,,Houston,Fort Bend,77053,,(346) 803-1895,,DAVID CARLTON FRANCIS,70,license_tenure_proxy,35,35,1,3,False,[],75,David Francis MP legacy pre-1990.,55,Fort Bend small.,45,No website.,75,Fort Bend Houston metro baseline.,61,B_forward,Francis Plumbing & Utility — long-tenured Fort Bend MP. C_watch — thin data.,N/A — thin.,low,0.3
Dallas Plumbing Company,Dallas Plumbing & AC,Dallas,Dallas,,,,https://dallasplumbing.com/,,65,biz_history_proxy,30,123,5,60,False,[],65,Dallas Plumbing Company 4th-gen ownership over 123-yr history (founded 1903). Current owner age likely 50-70.,90,"Excellent: 123-yr operation (TX's oldest), multi-trade plumbing + AC, very large platform-scale shop. ≈ $10M+ rev.",45,Successor check NEGATIVE: explicit 4-gen family succession. Not coasting-solo profile.,92,Dallas rollup very hot.,69,B_forward,"Dallas Plumbing Company, 123-yr operation, 4-gen family. Already platform-scale ($10M+ rev). Not off-market thesis target. B_forward at best — likely already on Apex/Wrench radar, may already have informal LOIs.",Platform-scale Dallas multi-trade. NOT off-market thesis target — Forward to ETA community only as awareness.,low,0.5
"Public Service Plumbers, Inc.",,Dallas,Dallas,,,,https://publicserviceplumbers.com/,,68,biz_history_proxy,45,67,4,30,False,[],72,Public Service Plumbers 3rd-gen DiFrancesco MP since 1981 = age ~65-70.,90,"Excellent: 67-yr operation, multi-trade plumbing + drain/sewer + AC + heating + electrical + generator, Shield Membership $14.95/mo active recurring revenue, Dallas Lakewood/Lower Greenville 75206.",48,Successor check NEGATIVE: 3rd-gen DiFrancesco explicit. Shield Membership active. Not coasting-solo profile.,92,Dallas rollup very hot + premium Lakewood/Lower Greenville submarket nudge +3.,72,B_forward,"Public Service Plumbers, 67-yr 3rd-gen DiFrancesco family, $5-10M revenue, multi-trade with active Shield Membership program. Premium Dallas submarket. B_forward — premium platform-acquirer bolt-on for Wrench/Apex/Service Champions.",Premium Dallas multi-trade with strong recurring revenue book + 67 yrs brand equity. Forward to Apex / Wrench / Service Champions platforms as $8-15M bolt-on target.,medium,0.65
"Cody & Sons Plumbing, Heating & Air",Cody & Sons,Dallas,Dallas,,,,https://codyandsons.com/,,65,biz_history_proxy,35,57,3,25,False,[],68,Cody & Sons founded 1969 by Bill+Shirley Cody + 3 sons. Currently operating with 'sons' generation.,85,"57-yr operation, multi-trade plumbing + heating + AC + generators + indoor air quality + duct cleaning. MVP membership. Online estimate booking.",45,Successor check NEGATIVE: 'and Sons' in name = explicit succession. Modernized (MVP plan + online).,88,Dallas/Plano hot rollup. ,68,B_forward,Cody & Sons Plumbing — 57-yr 'and Sons' explicit succession family operation. B_forward bolt-on for Wrench/Apex platforms.,Multi-trade Dallas/Plano with active MVP membership + multi-gen family. Forward to ETA / Wrench / Apex as bolt-on.,medium,0.6
Reeves Family Plumbing,,Dallas,Dallas,,,,https://www.reevesfamilyplumbing.com/,,60,biz_history_proxy,25,66,2,12,False,[],60,Reeves Family Plumbing 1960 + woman-owned HUB.,70,Dallas mid-shop.,50,BOOK ONLINE + 'Family' brand. Mid coasting.,88,Dallas rollup hot.,64,B_forward,"Reeves Family Plumbing — 66-yr, woman-owned. B_forward.",Mid-shop Dallas family. Forward.,low,0.4
"Baker Brothers Plumbing, Air & Electric",Baker Brothers,Dallas,Dallas,,,(214) 296-2136,https://bakerbrothersplumbing.com/,,,platform_excluded,,81,,,True,"[""pe_platform_owned_wrench_group_infrastructure_detected""]",0,Platform-excluded.,0,Platform-excluded.,0,Platform-excluded.,0,Platform-excluded.,25,D_pass,Baker Brothers Plumbing — Wrench Group infrastructure detected on website CDN (wg.scene7.com image paths). EXCLUDE as PE platform-owned per filter rules.,N/A — platform-excluded.,high,0.5
My Local Plumber,,Farmers Branch,Dallas,,,,https://mylocalplumber.net/,,60,biz_history_proxy,25,25,1,6,False,[],55,25+ yrs.,65,Farmers Branch N Dallas mid.,50,Some coasting tells.,85,Dallas rollup hot.,60,B_forward,My Local Plumber — 25-yr Farmers Branch family. B_forward.,Mid-shop Dallas family. Forward.,low,0.4
Watermark Plumbing,,Carrollton,Dallas,,,,https://www.watermarkplumbing.com/,,55,biz_history_proxy,21,21,1,4,False,[],50,Watermark Plumbing since 2005.,65,Carrollton small-mid.,45,Mid.,85,Dallas rollup hot.,58,C_watch,Watermark Plumbing — 21-yr Carrollton. C_watch.,N/A — too young.,low,0.4
"Burton's Mechanical, Inc.",,Dallas,Dallas,,,,https://www.burtonsmechanical.com/,,50,biz_history_proxy,18,18,1,5,False,[],45,Burton's Mechanical since 2008.,50,Commercial construction focus — partial exclusion candidate.,35,Mid.,70,Dallas baseline.,47,C_watch,"Burton's Mechanical — commercial construction focus, less residential service. C_watch / borderline-exclude.",N/A.,low,0.4
Barbosa Plumbing & Air Conditioning,Barbosa Mechanical,Carrollton,Dallas,,,,https://www.barbosamechanical.com/,,65,biz_history_proxy,46,46,1,6,False,[],60,Barbosa Mechanical 46+ yrs.,65,Carrollton/Farmers Branch.,50,Mid.,85,Dallas rollup hot.,62,B_forward,Barbosa Plumbing — 46-yr Carrollton/Farmers Branch. B_forward — needs deeper verification.,Long-tenured Dallas family. Forward.,low,0.35
Legacy Plumbing,,Frisco,Collin,,,,https://legacyplumbing.net/,Theron Young,55,license_tenure_proxy,20,20,1,12,False,[],45,Theron Young M-37588 (~2005) = age 50-60.,80,Legacy Gold Plan + 2 locations + online booking.,40,Modernized = low coasting.,90,Dallas/Frisco rollup very hot.,59,C_watch,Legacy Plumbing — too young + modernized. C_watch.,N/A — owner not retirement-window.,medium,0.55
Hackler Plumbing,,McKinney,Collin,,,,https://hacklerplumbingmckinney.com/,,50,license_tenure_proxy,16,16,1,5,False,[],45,Brad Hackler M-39169 (~2010).,65,McKinney small-mid.,50,Mid.,88,Collin County rollup hot.,58,C_watch,Hackler Plumbing — owner too young. C_watch.,N/A.,medium,0.5
Smith and Son Plumbing and Backflow,Smith and Son Plumbing,McKinney,Collin,,,,https://smithandsonplumbing.com/,,70,biz_history_proxy,55,55,2,8,False,[],78,Smith and Son Plumbing 3rd-gen since 1970.,80,McKinney + backflow recurring revenue.,40,Successor check NEGATIVE: 3rd-gen.,90,Collin rollup hot.,69,B_forward,Smith and Son — 3-gen McKinney. B_forward.,McKinney multi-gen + backflow recurring. Forward.,medium,0.6
O'Bryan Plumbing Services,,Allen,Collin,,,,https://obryanplumbingservices.com/,,55,biz_history_proxy,25,44,1,10,False,[],55,William O'Bryan 2nd-gen.,75,"Allen + Plano 2 locations, O'Bryan Family Plan, online booking.",40,Modernized = low coasting.,90,Collin rollup hot.,61,B_forward,"O'Bryan Plumbing — 2nd-gen William, modernized. B_forward.",Allen/Plano family. Forward.,medium,0.65
Kenny Bunch Plumbing,,Wylie,Collin,,,,https://kennybunchplumbing.com/,Kenny Bunch,60,biz_history_proxy,25,25,1,5,False,[],65,Kenny Bunch 25 yrs.,65,Wylie/Plano.,50,"No membership, no online booking — mid coasting.",88,Collin/Dallas rollup hot.,64,B_forward,Kenny Bunch Plumbing — 25-yr Wylie. B_forward.,N Dallas Collin small-mid. Forward.,low,0.45
FRANK SMITH PLUMBING,,Dallas,Dallas,75208,214 W CLARENDON DR,(214) 912-2768,,FRANK EDWARD SMITH,70,license_tenure_proxy,37,37,1,3,False,[],78,Frank E Smith MP M-16856 since 1988 = age ~70.,60,Oak Cliff Dallas 75208 small shop.,50,Successor check NEGATIVE: Frank M Jr Smith = 2nd-gen succession.,88,Dallas rollup hot + Oak Cliff older housing +3.,67,B_forward,Frank Smith Plumbing — 2nd-gen Frank Jr. B_forward.,Oak Cliff Dallas family. Forward.,medium,0.5
IC PLUMBING LLC,,Carrollton,Dallas,75006,1800 E BELTLINE RD,(214) 223-5399,,TERRY LYNN STOKES,70,license_tenure_proxy,39,39,1,3,False,[],80,Terry Stokes MP M-15811 since 1986.,60,Carrollton small.,50,No website. Cap confidence.,85,Dallas rollup hot.,67,B_forward,"IC Plumbing — long-tenured Carrollton MP, no website. C_watch.",N/A — thin.,low,0.3
RIDDELL PLUMBING INC,,Mesquite,Dallas,75149,,(972) 682-4860,,RONALD SCOTT RIDDELL,70,license_tenure_proxy,40,40,3,30,False,[],78,Scott Riddell MP M-15275 since 1985.,80,"Mesquite. 160 employees, 60 trucks per ZoomInfo = $20M+ rev. TOO LARGE for off-market thesis.",35,Successor check unclear but size = platform-acquirer radar already.,88,Dallas rollup hot.,67,B_forward,Riddell Plumbing — 160 emp / 60 trucks = $20M+ rev. Platform-scale. NOT off-market thesis. D_pass (too-large filter).,Too large — already on platform radar.,high,0.65
AH MECHANICAL CONTRACTORS LLC,,Dallas,Dallas,75235,,(214) 236-2215,,ALFRED HERNANDEZ,60,license_tenure_proxy,20,20,1,3,False,[],65,Alfred Hernandez M-37502 since 2005.,55,Dallas Love Field small.,50,No website.,80,Dallas baseline.,60,B_forward,AH Mechanical Contractors — 20-yr Dallas small. C_watch.,N/A — thin.,low,0.3
COLDWATER PLUMBING SERVICES INC,,Mesquite,Dallas,75150,15330 LBJ FREEWAY SUITE 206,(972) 279-1128,,RUDOLFO NUNEZ,58,license_tenure_proxy,19,19,1,3,False,[],60,Rudolfo Nunez M-37625 since 2006.,55,Mesquite small.,50,No website.,80,Dallas baseline.,59,C_watch,Coldwater Plumbing — 19-yr Mesquite small. C_watch.,N/A — thin + young.,low,0.3
